"Province.State","Country.Region","Lat","Long","date","cases","type"
"","Austria",47.5162,14.5501,2020-05-04,24,"confirmed"
"","Austria",47.5162,14.5501,2020-05-05,29,"confirmed"
"","Austria",47.5162,14.5501,2020-05-06,34,"confirmed"
"","Austria",47.5162,14.5501,2020-05-07,68,"confirmed"
"","Austria",47.5162,14.5501,2020-05-08,22,"confirmed"
"","Austria",47.5162,14.5501,2020-05-09,59,"confirmed"
"","Austria",47.5162,14.5501,2020-05-10,38,"confirmed"
"","Austria",47.5162,14.5501,2020-05-11,11,"confirmed"
"","Austria",47.5162,14.5501,2020-05-12,79,"confirmed"
"","Austria",47.5162,14.5501,2020-05-13,36,"confirmed"
"","Austria",47.5162,14.5501,2020-05-14,61,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-22,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-23,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-24,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-25,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-26,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-27,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-28,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-29,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-30,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-01-31,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-01,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-02,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-03,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-04,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-05,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-06,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-07,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-08,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-09,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-10,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-11,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-12,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-13,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-14,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-15,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-16,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-17,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-18,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-19,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-20,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-21,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-22,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-23,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-24,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-25,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-26,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-27,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-28,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-02-29,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-01,3,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-02,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-03,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-04,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-05,3,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-06,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-07,3,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-08,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-09,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-10,2,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-11,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-12,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-13,4,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-14,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-15,8,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-16,5,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-17,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-18,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-19,16,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-20,0,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-21,9,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-22,12,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-23,7,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-24,15,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-25,6,"confirmed"
